feature,total_gain
morgan_409,5.0
morgan_420,5.0
atompair_233,5.0
atompair_240,5.0
atompair_1078,5.0
atompair_1073,5.0
atompair_200,5.0
atompair_1108,5.0
atompair_1085,5.0
maccs_90,5.0
atompair_821,5.0
atompair_440,5.0
torsion_1633,5.0
morgan_556,5.0
torsion_1613,5.0
atompair_2005,5.0
morgan_1559,5.0
torsion_1092,5.0
morgan_930,5.0
atompair_1989,5.0
atompair_1208,5.0
atompair_1210,5.0
atompair_898,5.0
morgan_188,5.0
morgan_194,5.0
morgan_183,5.0
atompair_766,5.0
morgan_1580,5.0
atompair_1904,5.0
atompair_1893,5.0
morgan_1611,5.0
atompair_1921,5.0
atompair_1924,5.0
morgan_1607,5.0
morgan_586,5.0
morgan_525,5.0
atompair_2042,5.0
torsion_4,5.0
morgan_946,5.0
morgan_1416,5.0
torsion_1732,5.0
morgan_462,5.0
torsion_1718,5.0
maccs_154,5.0
maccs_156,5.0
maccs_145,5.0
atompair_107,5.0
atompair_29,5.0
atompair_68,5.0
atompair_1234,5.0
atompair_1222,5.0
atompair_1272,5.0
maccs_131,5.0
atompair_1251,5.0
atompair_20,5.0
atompair_1,5.0
atompair_153,5.0
torsion_1844,5.0
morgan_456,5.0
maccs_148,5.0
torsion_1636,5.0
torsion_1685,5.0
morgan_492,5.0
maccs_114,5.0
morgan_1398,5.0
morgan_1382,5.0
morgan_1387,5.0
morgan_1364,5.0
morgan_1372,5.0
morgan_1379,5.0
torsion_916,5.0
torsion_873,5.0
morgan_972,5.0
morgan_1035,5.0
torsion_332,5.0
torsion_380,5.0
morgan_1729,5.0
atompair_1796,5.0
morgan_1692,5.0
atompair_1820,5.0
morgan_1664,5.0
atompair_1814,5.0
atompair_1853,5.0
atompair_1854,5.0
torsion_1280,5.0
morgan_1816,5.0
morgan_1827,5.0
morgan_1780,5.0
morgan_1762,5.0
torsion_1189,5.0
torsion_1192,5.0
atompair_384,5.0
desc_ExactMolWt,5.0
morgan_268,5.0
morgan_272,5.0
atompair_133,5.0
atompair_1200,5.0
torsion_1813,5.0
morgan_765,5.0
morgan_1299,5.0
torsion_364,5.0
atompair_261,5.0
atompair_263,5.0
atompair_965,5.0
atompair_309,5.0
atompair_287,5.0
atompair_224,5.0
atompair_228,5.0
atompair_229,5.0
atompair_1046,5.0
atompair_984,5.0
atompair_196,5.0
morgan_1084,5.0
maccs_54,5.0
maccs_36,5.0
torsion_1500,5.0
morgan_674,5.0
atompair_1345,5.0
atompair_450,5.0
morgan_740,5.0
atompair_1476,5.0
atompair_1528,5.0
morgan_1925,5.0
morgan_1913,5.0
atompair_1508,5.0
atompair_1511,5.0
atompair_1429,5.0
morgan_713,5.0
atompair_1458,5.0
atompair_1499,5.0
atompair_1484,5.0
torsion_1365,5.0
torsion_1425,5.0
torsion_1360,5.0
morgan_52,5.0
morgan_1,5.0
desc_fr_ether,5.0
morgan_533,5.0
atompair_869,5.0
morgan_283,5.0
torsion_2036,5.0
maccs_121,5.0
torsion_805,5.0
torsion_685,5.0
morgan_1093,5.0
morgan_1037,5.0
torsion_529,5.0
torsion_596,5.0
torsion_584,5.0
atompair_644,5.0
atompair_593,4.0
morgan_1185,4.0
